track_id,song_name,n_artists,main_artist,main_artist_id,main_artist_genres,release_date,explicit,tempo,acousticness,mode,duration_ms,danceability,speechiness,valence,energy,liveness,instrumentalness
4FF0tP9mkoiFKLiXFeXm0q,Cotton Candy,1,spill tab,3qqkHeEhezlIaNj1vFYH2r,"['indie pop', 'indie r&b', 'modern indie pop']",2020-08-05,0,96.889,0.662,1,93871,0.686,0.234,0.569,0.456,0.357,8.93e-06
0pq5dsJfIhJ7G5jMWcl5GP,Bad Bitch Anthem,1,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,"['alternative r&b', 'lgbtq+ hip hop', 'nyc rap', 'pop rap', 'rap', 'trap']",2020-05-22,1,93.041,0.0331,1,159140,0.925,0.137,0.395,0.53,0.0675,0.0
0BWBqb5XxraObLopqskk6D,Feels Right,1,Biig Piig,4GoD5FJCgC0lbzde7ly44M,"['alternative r&b', 'indie soul', 'modern alternative pop']",2020-11-17,0,121.058,0.162,1,199006,0.811,0.115,0.556,0.452,0.12,0.00305
1t1dBP7dnM0uA1HVdcGWm8,Best Thing,1,Janine,4k3yrCOPB5wp2ne8R9MQoM,"['alternative r&b', 'chill r&b', 'nz pop', 'pop', 'pop r&b', 'r&b']",2020-08-24,0,135.939,0.902,0,219066,0.479,0.0606,0.372,0.364,0.101,8.1e-05
7kpe2K0hdSssLj4G4YjxdU,camellia,1,slchld,33crDRqANd3NQHJagZkQ7O,"['canadian contemporary r&b', 'chill r&b', 'pop']",2020-11-18,0,109.934,0.479,1,151212,0.714,0.0662,0.945,0.56,0.157,0.0
4Ami4MTReWxztxGW1ZmOk8,Rapper Weed,2,SiR,3QTDHixorJelOLxoxcjqGx,"['alternative r&b', 'hip hop', 'indie soul', 'la pop', 'r&b', 'rap']",2020-04-23,1,147.368,0.0446,1,160000,0.551,0.425,0.55,0.674,0.0922,0.0
0CmQgwV3Bmzh9nZb9TNVEI,Do To Me,1,H.E.R.,3Y7RZ31TRPVadSFVy1o8os,"['dance pop', 'pop', 'r&b']",2020-07-08,0,144.841,0.0603,1,225103,0.477,0.138,0.494,0.854,0.168,0.0
0MfMCBfIEDWroH9E09QoJu,To Me,1,Alina Baraz,6hfwwpXqZPRC9CsKI7qtv1,"['etherpop', 'pop', 'r&b']",2020-04-24,1,78.021,0.421,1,257055,0.276,0.0439,0.04,0.558,0.0885,0.248
7JeCUUnOpoz4JoV84fliOc,Stuck.,2,Durand Bernarr,2d6ggH1oVt4z2zCuY2u5DW,['alternative r&b'],2020-08-28,0,84.118,0.257,0,259495,0.471,0.0786,0.423,0.524,0.633,0.0
3syIqcdNRjbFcWkEMRRT1d,damn Right Pt. 2,2,AUDREY NUNA,0Wwji82sLA0Hcvtuak3omb,"['alternative r&b', 'indie r&b', 'modern indie pop']",2020-10-09,1,81.019,0.077,1,186667,0.75,0.194,0.623,0.95,0.161,0.000332
